species,ID,sex,weight,age_at _weiging,Novel_env_time _to stop1,Novel_env_time _to stop2,Novel_env_time _again1,Novel_env_time _again2,boldness1,boldness2,agg1,agg2,prey_reaction1,prey_reaction2,prey_attack1,prey_attack2,voracity1,voracity2,n_viable_eggsacs,lab_longevity
Zygiella_x_notata,52,1,0.0665,55,0,0,40.66,19.47,1,1,9,9,0.5,33.2,5.59,38.19,5.09,4.99,6,217
Zygiella_x_notata,53,1,0.0555,57,125,2,6.97,8,3,3,24,11,1.5,0.2,6,1,4.5,0.8,7,292
Zygiella_x_notata,55,1,0.0597,,48.9,0,7.93,7.65,3,1,1,2,27,6.3,57.72,11.13,30.72,4.83,8,285
Zygiella_x_notata,56,1,0.0757,22,0,0,129.93,300,1,1,25,2,17.69,0.8,48.78,3.12,31.09,2.32,4,164
Zygiella_x_notata,57,1,0.0613,22,0,0,29.44,8.97,1,1,16,21,,,,,,,0,90
Zygiella_x_notata,58,1,0.0719,22,300,0,0,13.09,3,1,31,17,,,,,,,3,149
Zygiella_x_notata,59,1,0.0329,22,172,2,29.6,7.59,3,3,2,2,1,1.68,4.57,4.87,3.57,3.19,5,235
Zygiella_x_notata,60,1,0.0426,22,92,0,8.25,13.59,3,1,1,0,,,,,,,7,282
Zygiella_x_notata,61,1,0.0346,22,300,1.5,0,11.72,3,3,4,2,90.8,1.6,116.18,3.81,25.38,2.21,1,225
Zygiella_x_notata,62,1,0.05,70,108.71,0,10.87,30.22,3,1,2,5,52,0.2,55.78,1,3.78,0.8,2,242
Zygiella_x_notata,63,1,0.1211,50,3.71,0,39.75,44.97,2.5,1,1,7,,,,,,,0,54
Zygiella_x_notata,64,2,,,198.14,0,6.66,16.88,3,1,9,18,NA,NA,NA,NA,NA,NA,NA,
Zygiella_x_notata,65,1,,,1.5,,6.19,,2.5,,1,3,27.5,3,31.75,6.59,4.25,3.59,6,280
