ID,SEX,Distance_flown,distance_walked,resting_time,walking_velocity,free_fall,death_feigning,body_righting,intra_interaction,inter_interaction,Wingbeat,Dead
403,F,1.04,282.6,423.8,0.667,6,2.95,1.02,0,0.19,36,24
404,F,0.533,285.2,451.5,0.632,3,5.78,1.51,1.24,0,12,10
405,F,0.219,197.7,333.5,0.593,22,5.84,0.78,2.55,2.11,16,24
406,F,0.345,342.9,515.2,0.666,6,12.53,1.37,4.26,3.37,2,6
407,F,0.057,192.2,329.8,0.583,6,0,1.6,0,0.09,0,3
408,F,0.247,235.3,397.6,0.592,6,7.63,0.78,0,2.54,1,11
409,F,0.364,407.8,508.3,0.802,6,9.96,1.04,4.58,0,4,11
410,F,0.387,274.2,442,0.62,6,0.83,1,0,2.111,5,8
411,F,0.22,205.6,344.1,0.598,6,0.82,1,0,0,12,10
412,F,0.275,238.3,386.9,0.616,3,1.54,1.32,0,0,10,3
413,F,0.096,224.5,376.6,0.596,6,2.98,1.19,0,2.1,3,8
414,F,2.171,295.9,441.1,0.671,9,1.44,0.6,11.31,6.47,36,4
415,F,0.939,205.2,360,0.57,6,69.3,1.16,6.53,0,9,4
416,F,1.39,275.5,444.1,0.62,3,52.38,0.64,0,0.11,33,3
417,F,1.021,358.2,491.6,0.729,6,54.34,2.59,0.7,0,14,7
418,F,2.228,220.1,356.7,0.617,12,0,0.75,0.53,0,1,7
419,F,1.324,167.5,302.6,0.554,6,0,0.87,5.24,0,35,28
420,F,0.951,218.1,386,0.565,6,2.35,0.54,0,1.55,18,7
421,F,1.399,288.3,375.8,0.767,6,16.07,1.19,2.17,0,0,6
422,F,0.508,294.5,436.3,0.675,6,17.18,2.87,6.25,0.1,10,5
423,F,0.179,222,358.1,0.62,3,3.54,1.19,12.33,14.28,0,10
424,F,0.949,281.4,429.9,0.655,3,6.45,1.29,0.22,0.53,3,40
425,F,0.198,247.7,387.5,0.639,6,51.1,1.39,1.11,1.24,2,9
426,F,0.357,338.3,491.2,0.689,6,8.97,0.76,11.18,1.04,0,5
427,F,0.198,281.2,437.9,0.642,3,7.88,1.44,0,0.49,0,7
428,F,0.104,212.7,338.8,0.628,6,0.88,1.04,7.46,1.35,0,3
429,F,0.319,217.7,347,0.627,6,0.49,0.86,1.06,0.44,0,20
430,F,0.454,311.6,420.4,0.741,22,16.69,1.02,6.45,3.54,37,16
431,F,0.506,354.1,481.4,0.736,6,5.37,4.01,2.14,8.01,0,9
432,F,0.313,272.9,416.6,0.655,6,2.3,1.57,3.04,12.49,0,4
433,F,0.217,260,402.4,0.646,6,38.48,8.69,0.4,1.2,0,3
434,F,0.727,195.6,310.2,0.631,3,12.12,2.21,3.21,4.15,0,8
435,F,0.558,294.5,428,0.688,6,0.93,1.82,2.53,2.3,6,8
436,F,0.292,207.7,305.8,0.679,3,1.32,0.59,9.15,2.25,0,11
437,F,0.432,197.2,309.5,0.637,6,10.9,2.63,3.08,0.44,2,6
438,F,0.669,188.2,301.2,0.625,6,40.92,0.88,1.25,1.32,9,3
439,F,0.383,194.9,342.7,0.569,3,31.13,1.67,13.57,0,8,10
440,F,0.458,174.1,311.8,0.558,6,12.62,1.01,0,0,0,2
441,F,0.588,287.2,443.2,0.648,6,99.81,0.74,10.36,0,8,8
442,F,0.8391,357.3,510.5,0.7,6,1.55,1.8,0,3.41,15,9
443,F,0.4814,308.8,388.2,0.795,15,7.14,1.45,5.2,2.2,15,8
444,F,0.3714,241.8,403.6,0.599,6,8.66,5.68,0,0.15,10,11
445,F,0.5085,202.3,340.9,0.593,6,12.09,1.24,14.23,13.29,1,11
446,F,0.3447,294.2,431.2,0.682,3,16.47,3.28,0,0,8,28
447,F,0.3842,246.2,390.6,0.63,6,5.84,1.47,13.51,0,3,7
448,F,0.5136,245.5,391.1,0.628,3,2.82,1.26,3.2,8.31,9,28
449,F,0.1829,210.8,335.6,0.628,6,1.51,5.65,1.2,9.09,11,8
450,F,0.2773,177.1,308.1,0.575,6,1.43,9.06,2.11,0,25,24
451,F,0.2123,452.8,542.5,0.835,3,40.45,3.6,2.12,6.24,2,36
452,F,0.7451,379.3,491.9,0.771,6,5.04,1.87,0,3.25,3,24
453,F,0.8321,272.3,441.6,0.617,6,13.37,4.34,0,5.15,0,68
454,F,0.6297,208.6,355.8,0.586,9,17.08,1.57,0,3.05,12,16
455,F,0.284,335.2,498.3,0.673,6,0.82,3.41,5.09,11.3,25,3
456,F,0.2693,206.6,344.3,0.6,6,0,1.93,4.57,4.59,8,44
457,F,0.5094,243.9,363,0.672,9,1.65,0.78,5.41,0,23,24
458,F,0.3939,270.3,433.7,0.623,6,2.13,1.52,0,0,18,6
459,F,0.1554,249.7,402.1,0.621,3,103.06,2.59,0,0,3,7
460,F,0.3759,342.2,481.8,0.71,6,48.32,5.55,0,7.34,1,5
461,F,0.3446,231.7,396.3,0.585,6,4.75,1.77,7.12,0,5,20
