ID,SEX,Distance_flown,distance_walked,resting_time,walking_velocity,free_fall,death_feigning,body_righting,intra_interaction,inter_interaction,Wingbeat,Dead
605,F,0.657,181.1,309.6,0.5849,6,3.84,0.67,5.38,6.14,0,3
606,F,0.871,232.4,351,0.6621,6,3.48,1.65,0,5.53,7,128
607,F,1.04,366.7,463.9,0.7905,6,3.59,1.38,0,0,6,136
608,F,0.671,213.9,352.1,0.6075,6,0,1.04,0,7.73,9,11
609,F,0.88,233.4,400.5,0.5828,6,19.66,2.04,0,0,1,8
610,F,1.058,250.6,393.2,0.637,6,6.19,0.52,14.27,0,15,7
611,F,1.176,301.8,409.8,0.736,9,0,0.81,0,0,18,11
612,F,0.679,239.1,389.3,0.614,3,3.12,0.46,0,6.59,0,3
613,F,0.73,286.4,425.2,0.674,6,10.34,0.9,1.43,0.26,3,4
614,F,0.669,310.1,453,0.685,6,35.13,0.72,0,1.5,0,5
615,F,0.802,294.7,455.6,0.647,6,6.72,0.92,9.13,0.16,5,7
616,F,0.57,391.1,494,0.792,6,18.57,0.68,8.45,3.56,23,9
617,F,0.685,274.4,390,0.704,6,3.45,2.34,4.35,7.42,8,4
618,F,0.625,358.5,495.7,0.723,6,17.13,1.59,0,8.34,6,3
619,F,0.628,209.9,335.3,0.626,6,19.74,1.37,4.35,0,8,4
620,F,0.784,392.9,472,0.832,6,0.85,0.64,0,0,5,5
621,F,1.894,315.3,446.2,0.707,6,2.65,1.3,14.23,4.35,6,6
622,F,1.216,293.5,383.9,0.765,6,4.45,0.37,7.44,13.33,13,2
623,F,0.907,296.4,427.5,0.693,22,26.19,0.75,6.22,9.19,13,2
624,F,1.005,264.5,415.3,0.637,6,0,0.45,6.02,8.37,0,3
625,F,0.497,405.5,489.3,0.829,6,4.87,1.83,10.59,0,3,40
626,F,0.743,240.1,368.4,0.652,6,14.92,1.4,5.48,5.4,14,2
627,F,0.26,375.4,462.5,0.812,6,2.65,1.15,2.15,11.47,24,4
628,F,0.5,345.6,424.8,0.814,15,26.45,0.6,7.49,0,10,2
629,F,0.362,225.1,344.8,0.653,6,16.57,1.34,3.43,0,8,5
630,F,0.557,240.9,394.9,0.61,6,8.76,0.67,8.37,0,24,2
