id,capture,day,time,hour,sex,age,breath_rate,time_novel,crossornot,time_known,speed,explo_groups,survival_2017,
362,3,36,16:27,16.45,2,3,19,0,0,600,3.333333333,0,1,
362,4,40,13:14,13.23,2,3,17,,,,,0,1,
362,5,45,17:15,17.25,2,3,,,,,,0,1,
378,1,36,17:39,17.65,2,3,13,322,1,278,3.789473684,1,1,
378,2,45,13:51,13.85,2,3,19,346,1,254,4.038461538,1,1,
382,1,23,14:29,14.48,2,3,17,0,0,600,3.2,0,1,
382,2,33,13:11,13.18,2,3,19,0,0,600,3.733333333,0,1,
382,3,45,16:21,16.35,2,3,20,0,0,600,3.230769231,0,1,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
