ExitVel,ProbPreg
0.511626706,49.03192106
1.01476849,45.4090155
1.512733601,41.86331518
2.010738893,38.47225491
2.508704005,34.92655458
3.017183186,31.84500405
3.510051987,28.68578907
4.008197913,25.83596903
4.506384021,23.14078904
5.009807073,20.60036393
5.508113724,18.36910413
6.01167741,16.36991924
6.510064424,14.44793957
7.013708472,12.7580348
