PIT_ID,Predated by cormorant (Yes/No),Time to emerge (s),Boldness score,length,Year
00000000091B2BC0,0,164,0.863333333,143,2009
00000000091B2BC1,0,550,0.541666667,126,2009
00000000091B2BC2,0,1200,0,134,2009
00000000091B2BC3,0,1200,0,148,2009
00000000091B2BC5,0,1200,0,143,2009
00000000091B2BC6,0,1195,0.004166667,149,2009
00000000091B2BC7,0,1200,0,130,2009
00000000091B2BC8,0,48,0.96,139,2009
00000000091B2BC9,0,1200,0,138,2009
00000000091B2BCA,0,1200,0,130,2009
00000000091B2BCB,0,305,0.745833333,140,2009
00000000091B2BCC,0,430,0.641666667,141,2009
00000000091B2BCD,0,1200,0,137,2009
00000000091B2BCF,0,397,0.669166667,144,2009
00000000091B2BD0,0,1200,0,133,2009
00000000091B2BD1,0,1200,0,153,2009
00000000091B2BD2,0,1200,0,137,2009
00000000091B2BD3,0,1200,0,133,2009
00000000091B2BD4,1,1200,0,138,2009
00000000091B2BD5,0,1200,0,136,2009
00000000091B2BD7,0,22,0.981666667,132,2009
00000000091B2BD8,0,430,0.641666667,134,2009
00000000091B2BE1,0,1200,0,132,2009
00000000091B2BE2,0,482,0.598333333,130,2009
00000000091B2BE3,0,518,0.568333333,164,2009
00000000091B2BE4,0,529,0.559166667,123,2009
00000000091B2BE5,0,320,0.733333333,133,2009
00000000091B2BE6,0,631,0.474166667,139,2009
00000000091B2BE7,1,1200,0,150,2009
00000000091B2BE8,0,1200,0,138,2009
00000000091B2BE9,0,1200,0,125,2009
00000000091B2BEA,0,308,0.743333333,133,2009
00000000091B2BEB,0,1200,0,132,2009
00000000091B2BEC,0,1145,0.045833333,159,2009
00000000091B2BED,0,1200,0,134,2009
00000000091B2BEE,0,893,0.255833333,129,2009
00000000091B2BEF,0,1200,0,141,2009
00000000091B2BF0,0,1200,0,141,2009
00000000091B2BF1,0,1200,0,155,2009
00000000091B2BF2,0,56,0.953333333,137,2009
00000000091B2BF3,0,1200,0,129,2009
00000000091B2BF4,0,1200,0,145,2009
00000000091B2BF5,0,847,0.294166667,131,2009
00000000091B2BF6,0,178,0.851666667,139,2009
00000000091B2BF7,0,1200,0,132,2009
00000000091B2BF8,0,566,0.528333333,160,2009
00000000091B2BF9,0,1200,0,129,2009
00000000091B2BFA,0,175,0.854166667,135,2009
00000000091B2BFB,0,1064,0.113333333,131,2009
00000000091B2BFC,0,1200,0,149,2009
00000000091B2BFD,0,1200,0,139,2009
00000000091B2BFE,0,186,0.845,138,2009
00000000091B2BFF,0,1200,0,165,2009
00000000091B2C00,0,1200,0,129,2009
00000000091B2C01,1,190,0.841666667,134,2009
00000000091B2C02,0,195,0.8375,138,2009
00000000091B2C03,0,1200,0,132,2009
00000000091B2C04,1,176,0.853333333,131,2009
00000000091B2C05,1,1200,0,137,2009
00000000091B2C06,0,1200,0,145,2009
00000000091B2C07,0,1200,0,141,2009
00000000091B2C08,0,1200,0,126,2009
00000000091B2C09,0,1200,0,131,2009
00000000091B2C0A,0,105,0.9125,138,2009
00000000091B2C0B,0,1200,0,126,2009
00000000091B2C0C,1,71,0.940833333,136,2009
00000000091B2C0D,0,786,0.345,146,2009
00000000091B2C0E,0,135,0.8875,132,2009
00000000091B2C0F,0,1200,0,128,2009
00000000091B2C10,0,696,0.42,128,2009
00000000091B2C11,0,1200,0,142,2009
00000000091B2C13,0,1200,0,125,2009
00000000091B2C14,0,124,0.896666667,138,2009
00000000091B2C15,0,376,0.686666667,134,2009
00000000091B2C16,1,655,0.454166667,144,2009
00000000091B2C17,0,1200,0,131,2009
00000000091B2C18,0,182,0.848333333,129,2009
00000000091B2C19,0,682,0.431666667,131,2009
00000000091B2C1A,0,1044,0.13,139,2009
00000000091B2C1B,0,1200,0,137,2009
00000000091B2C1C,0,889,0.259166667,124,2009
00000000091B2C1E,0,201,0.8325,134,2009
00000000091B2C1F,0,893,0.255833333,132,2009
00000000091B2C20,0,349,0.709166667,154,2009
00000000091B2C21,1,1200,0,129,2009
00000000091B2C22,0,453,0.6225,142,2009
00000000091B2C23,0,1200,0,134,2009
00000000091B2C24,0,440,0.633333333,132,2009
00000000091B2C25,0,67,0.944166667,137,2009
00000000091B2C26,0,210,0.825,144,2009
00000000091B2C27,0,1200,0,128,2009
00000000091B2C28,0,1200,0,134,2009
00000000091B2C29,0,1200,0,135,2009
00000000091B2C2A,0,1200,0,145,2009
00000000091B2C2B,0,10,0.991666667,141,2009
00000000091B2C2C,0,1200,0,156,2009
00000000091B2C2D,0,195,0.8375,153,2009
00000000091B2C2E,0,285,0.7625,148,2009
00000000091B2C2F,0,362,0.698333333,137,2009
00000000091B2C30,0,1200,0,163,2009
00000000091B2C31,0,1200,0,135,2009
00000000091B2C32,1,339,0.7175,136,2009
00000000091B2C33,0,427,0.644166667,159,2009
00000000091B2C34,0,1200,0,149,2009
00000000091B2C35,0,1200,0,144,2009
00000000091B2C36,0,1200,0,128,2009
00000000091B2C37,0,151,0.874166667,143,2009
00000000091B2C39,0,217,0.819166667,137,2009
00000000091B2C3A,0,793,0.339166667,144,2009
00000000091B2C3B,0,1200,0,130,2009
00000000091B2C3C,1,10,0.991666667,139,2009
00000000091B2C3D,1,213,0.8225,136,2009
00000000091B2C3E,0,1200,0,150,2009
00000000091B2C3F,0,1200,0,124,2009
00000000091B2C40,0,578,0.518333333,131,2009
00000000091B2C41,0,360,0.7,140,2009
00000000091B2C42,0,746,0.378333333,132,2009
00000000091B2C43,0,1200,0,122,2009
00000000091B2C44,0,1200,0,133,2009
00000000091B2C45,0,178,0.851666667,131,2009
00000000091B2C46,0,237,0.8025,142,2009
00000000091B2C47,0,1200,0,124,2009
00000000091B2C48,1,1200,0,131,2009
00000000091B2C49,1,769,0.359166667,141,2009
00000000091B2C4A,0,1200,0,141,2009
00000000091B2C4B,0,139,0.884166667,123,2009
00000000091B2C4C,0,577,0.519166667,141,2009
00000000091B2C4D,0,366,0.695,137,2009
00000000091B2C4E,0,272,0.773333333,127,2009
00000000091B2C4F,0,131,0.890833333,136,2009
00000000091B2C50,1,277,0.769166667,135,2009
00000000091B2C51,1,1200,0,127,2009
00000000091B2C52,1,276,0.77,131,2009
00000000091B2C53,0,448,0.626666667,134,2009
00000000091B2C54,0,1200,0,139,2009
00000000091B2C55,1,134,0.888333333,136,2009
00000000091B2C56,0,1200,0,142,2009
00000000091B2C57,1,1200,0,131,2009
00000000091B2C58,0,321,0.7325,130,2009
00000000091B2C59,0,1200,0,126,2009
00000000091B2C5C,0,877,0.269166667,142,2009
00000000091B2C5D,1,295,0.754166667,143,2009
00000000091B2C5E,0,325,0.729166667,145,2009
00000000091B2C5F,0,1200,0,143,2009
00000000091B2C60,0,127,0.894166667,128,2009
00000000091B2C61,0,73,0.939166667,147,2009
00000000091B2C62,0,1200,0,135,2009
00000000091B2C63,0,279,0.7675,150,2009
00000000091B2C64,0,1200,0,144,2009
00000000091B2C65,0,270,0.775,137,2009
00000000091B2C66,0,370,0.691666667,142,2009
00000000091B2C67,0,387,0.6775,146,2009
00000000091B2C68,0,231,0.8075,150,2009
00000000091B2C69,0,659,0.450833333,141,2009
00000000091B2C6A,0,1200,0,136,2009
00000000091B2C6B,0,1200,0,141,2009
00000000091B2C6C,0,1200,0,137,2009
00000000091B2C6D,0,633,0.4725,122,2009
00000000091B2C6E,0,1200,0,137,2009
00000000091B2C6F,0,38,0.968333333,132,2009
00000000091B2C70,0,222,0.815,142,2009
00000000091B2C71,0,1200,0,135,2009
00000000091B2C72,0,1200,0,145,2009
00000000091B2C73,0,1200,0,134,2009
00000000091B2C74,0,1200,0,136,2009
00000000091B2C75,0,223,0.814166667,128,2009
00000000091B2C76,0,1200,0,141,2009
00000000091B2C77,0,1200,0,138,2009
00000000091B2C78,0,1200,0,125,2009
00000000091B2C7E,1,160,0.866666667,142,2009
00000000091B2C7F,0,355,0.704166667,132,2009
0000000009DCDEB4,0,1200,0,130,2010
0000000009DCDFC7,0,1200,0,174,2010
0000000009DCE160,0,1200,0,166,2010
0000000009DCE162,0,1200,0,164,2010
0000000009DCE169,0,1200,0,168,2010
0000000009DCE16B,1,165,0.8625,151,2010
0000000009DCE16E,0,1200,0,151,2010
0000000009DCE16F,0,8,0.993333333,173,2010
0000000009DCE170,0,1200,0,178,2010
0000000009DCE171,0,1200,0,151,2010
0000000009DCE172,0,1200,0,189,2010
0000000009DCE173,0,1200,0,173,2010
0000000009DCE175,0,25,0.979166667,149,2010
0000000009DCE176,0,1200,0,148,2010
0000000009DCE177,0,1200,0,168,2010
0000000009DCE178,0,20,0.983333333,147,2010
0000000009DCE179,0,140,0.883333333,154,2010
0000000009DCE17A,0,1200,0,165,2010
0000000009DCE17B,0,1200,0,144,2010
0000000009DCE17C,1,1200,0,150,2010
0000000009DCE17E,0,1200,0,139,2010
0000000009DCE17F,0,1200,0,144,2010
0000000009DCE180,0,598,0.501666667,181,2010
0000000009DCE181,0,6,0.995,190,2010
0000000009DCE182,0,1200,0,143,2010
0000000009DCE183,0,1159,0.034166667,138,2010
0000000009DCE184,0,1200,0,181,2010
0000000009DCE185,0,1200,0,152,2010
0000000009DCE186,0,102,0.915,186,2010
0000000009DCE187,0,690,0.425,134,2010
0000000009DCE188,0,82,0.931666667,183,2010
0000000009DCE189,0,1200,0,146,2010
0000000009DCE18A,0,1,0.999166667,170,2010
0000000009DCE18B,0,1200,0,147,2010
0000000009DCE18C,0,529,0.559166667,167,2010
0000000009DCE18D,0,51,0.9575,189,2010
0000000009DCE18E,1,1200,0,162,2010
0000000009DCE190,0,1200,0,177,2010
0000000009DCE191,0,814,0.321666667,153,2010
0000000009DCE193,0,610,0.491666667,184,2010
0000000009DCE194,0,1,0.999166667,141,2010
0000000009DCE195,0,1200,0,193,2010
0000000009DCE196,0,1200,0,147,2010
0000000009DCE197,0,1200,0,147,2010
0000000009DCE198,0,1200,0,150,2010
0000000009DCE199,0,777,0.3525,179,2010
0000000009DCE19B,0,1200,0,222,2010
0000000009DCE19D,0,1200,0,208,2010
0000000009DCE227,0,1200,0,154,2010
0000000009DCE229,0,1200,0,177,2010
0000000009DCE22B,0,1200,0,139,2010
0000000009DCE22C,0,1200,0,163,2010
0000000009DCE22D,0,1200,0,137,2010
0000000009DCE22F,0,1200,0,231,2010
0000000009DCE230,0,1200,0,166,2010
0000000009DCE231,0,1200,0,124,2010
0000000009DCE232,0,1200,0,148,2010
0000000009DCE233,0,1054,0.121666667,185,2010
0000000009DCE234,1,45,0.9625,154,2010
0000000009DCE235,0,1200,0,136,2010
0000000009DCE236,0,1200,0,150,2010
0000000009DCE237,0,1200,0,154,2010
0000000009DCE238,0,1200,0,173,2010
0000000009DCE239,0,4,0.996666667,152,2010
0000000009DCE23A,0,1200,0,135,2010
0000000009DCE23C,0,1200,0,175,2010
0000000009DCE23D,0,1,0.999166667,139,2010
0000000009DCE23E,0,4,0.996666667,173,2010
0000000009DCE23F,0,432,0.64,167,2010
0000000009DCE240,0,204,0.83,148,2010
0000000009DCE241,0,1200,0,175,2010
0000000009DCE242,0,1200,0,167,2010
0000000009DCE243,0,25,0.979166667,187,2010
0000000009DCE244,0,1200,0,158,2010
0000000009DCE245,0,20,0.983333333,197,2010
0000000009DCE246,0,1200,0,166,2010
0000000009DCE247,0,1200,0,157,2010
0000000009DCE248,0,1200,0,161,2010
0000000009DCE249,0,449,0.625833333,137,2010
0000000009DCE24A,0,1,0.999166667,167,2010
0000000009DCE24B,0,1200,0,166,2010
0000000009DCE24C,0,1200,0,175,2010
0000000009DCE24D,0,1200,0,148,2010
0000000009DCE24E,0,1200,0,128,2010
0000000009DCE24F,0,1200,0,139,2010
0000000009DCE250,0,1200,0,162,2010
0000000009DCE251,0,721,0.399166667,130,2010
0000000009DCE252,0,1200,0,149,2010
0000000009DCE253,0,1200,0,137,2010
0000000009DCE254,0,1200,0,152,2010
0000000009DCE255,1,1200,0,164,2010
0000000009DCE256,1,1200,0,160,2010
0000000009DCE257,0,3,0.9975,142,2010
0000000009DCE258,0,381,0.6825,134,2010
0000000009DCE259,0,1200,0,132,2010
0000000009DCE25A,0,1200,0,143,2010
0000000009DCE25B,0,1200,0,138,2010
0000000009DCE25C,0,1200,0,146,2010
0000000009DCE25D,1,1200,0,137,2010
0000000009DCE25E,0,871,0.274166667,136,2010
0000000009DCE25F,0,1200,0,140,2010
0000000009DCE260,0,1200,0,162,2010
0000000009DCE261,0,4,0.996666667,135,2010
0000000009DCE262,0,1200,0,166,2010
0000000009DCE263,0,1200,0,139,2010
0000000009DCE264,0,1200,0,136,2010
0000000009DCE265,0,1200,0,169,2010
0000000009DCE266,0,12,0.99,142,2010
0000000009DCE267,0,363,0.6975,143,2010
0000000009DCE268,0,1200,0,140,2010
0000000009DCE269,0,639,0.4675,152,2010
0000000009DCE26A,0,774,0.355,127,2010
0000000009DCE26B,0,19,0.984166667,146,2010
0000000009DCE26C,0,1200,0,151,2010
0000000009DCE26D,0,1048,0.126666667,184,2010
0000000009DCE26E,0,353,0.705833333,150,2010
0000000009DCE26F,0,60,0.95,147,2010
0000000009DCE270,0,1200,0,139,2010
0000000009DCE271,0,560,0.533333333,136,2010
0000000009DCE273,0,116,0.903333333,150,2010
0000000009DCE275,0,1200,0,223,2010
0000000009DCE2B4,0,1200,0,143,2010
0000000009DCE2B6,0,1200,0,135,2010
0000000009DCE2B8,0,1200,0,133,2010
0000000009DCE2B9,0,201,0.8325,147,2010
0000000009DCE2BA,1,4,0.996666667,136,2010
0000000009DCE2BB,0,22,0.981666667,149,2010
0000000009DCE2BC,0,1200,0,168,2010
0000000009DCE2BD,0,1200,0,154,2010
0000000009DCE2BE,0,1200,0,178,2010
0000000009DCE2C0,0,1200,0,137,2010
