mating,treatment,total.l.c,fore.w.c,coef.activity,slope.activity.nbmales.c,coef.agg,nbmales.c,nbfemales.c,ham,id_exp,stream,date,timestep,total.l.c.z,fore.w.c.z,coef.activity.z,slope.activity.nbmales.c.z,coef.agg.z,nbmales.c.z,nbfemales.c.z
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,-0.912573674,-0.173870334,NO,3,1,4/29/2011,25,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,-0.44862614,-0.374202217
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,-0.912573674,-0.173870334,NO,3,1,5/01/2011,39,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,-0.44862614,-0.374202217
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,-0.912573674,-0.173870334,NO,3,1,5/01/2011,40,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,-0.44862614,-0.374202217
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,1.087426326,-0.173870334,NO,3,1,4/26/2011,6,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,0.534584647,-0.374202217
0,1,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,2.087426326,-0.173870334,NO,3,1,4/30/2011,34,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,1.026190041,-0.374202217
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,-1.912573674,-0.173870334,NO,3,1,4/30/2011,30,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,-0.940231534,-0.374202217
0,1,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,7.087426326,-0.173870334,NO,3,1,4/30/2011,33,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,3.484217009,-0.374202217
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,-0.912573674,-0.173870334,NO,3,1,4/29/2011,26,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,-0.44862614,-0.374202217
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,-0.912573674,-0.173870334,NO,3,1,4/29/2011,24,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,-0.44862614,-0.374202217
0,1,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,4.087426326,-0.173870334,NO,3,1,4/28/2011,18,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,2.009400828,-0.374202217
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,-0.912573674,-0.173870334,NO,3,1,5/01/2011,41,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,-0.44862614,-0.374202217
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,-0.912573674,-0.173870334,NO,3,1,5/01/2011,43,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,-0.44862614,-0.374202217
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,5.087426326,-0.173870334,NO,3,1,4/28/2011,19,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,2.501006222,-0.374202217
0,0,0.004942534,0.062452603,-0.409321747,-0.028311118,-0.025939837,4.087426326,-0.173870334,NO,3,1,4/28/2011,17,0.006036238,0.967905405,-0.554835437,-0.670855562,-0.090622057,2.009400828,-0.374202217
0,0,0.753942534,0.034452603,-0.870326389,-0.00548119,-0.149623784,-1.912573674,-0.173870334,NO,4,1,4/29/2011,22,0.920777866,0.533954697,-1.166645929,-0.147444443,-0.694097051,-0.940231534,-0.374202217
0,0,0.753942534,0.034452603,-0.870326389,-0.00548119,-0.149623784,-1.912573674,-0.173870334,NO,4,1,4/28/2011,20,0.920777866,0.533954697,-1.166645929,-0.147444443,-0.694097051,-0.940231534,-0.374202217
0,0,0.753942534,0.034452603,-0.870326389,-0.00548119,-0.149623784,5.087426326,-0.173870334,NO,4,1,4/29/2011,26,0.920777866,0.533954697,-1.166645929,-0.147444443,-0.694097051,2.501006222,-0.374202217
0,0,0.753942534,0.034452603,-0.870326389,-0.00548119,-0.149623784,1.087426326,-0.173870334,NO,4,1,5/01/2011,43,0.920777866,0.533954697,-1.166645929,-0.147444443,-0.694097051,0.534584647,-0.374202217
0,0,0.753942534,0.034452603,-0.870326389,-0.00548119,-0.149623784,2.087426326,-0.173870334,YES,4,1,5/01/2011,42,0.920777866,0.533954697,-1.166645929,-0.147444443,-0.694097051,1.026190041,-0.374202217
0,0,0.753942534,0.034452603,-0.870326389,-0.00548119,-0.149623784,-1.912573674,-0.173870334,NO,4,1,4/29/2011,23,0.920777866,0.533954697,-1.166645929,-0.147444443,-0.694097051,-0.940231534,-0.374202217
0,0,0.753942534,0.034452603,-0.870326389,-0.00548119,-0.149623784,-0.912573674,-0.173870334,NO,4,1,4/29/2011,24,0.920777866,0.533954697,-1.166645929,-0.147444443,-0.694097051,-0.44862614,-0.374202217
1,0,0.753942534,0.034452603,-0.870326389,-0.00548119,-0.149623784,3.087426326,-0.173870334,NO,4,1,4/29/2011,27,0.920777866,0.533954697,-1.166645929,-0.147444443,-0.694097051,1.517795434,-0.374202217
1,0,0.753942534,0.034452603,-0.870326389,-0.00548119,-0.149623784,-1.912573674,-0.173870334,NO,4,1,4/26/2011,5,0.920777866,0.533954697,-1.166645929,-0.147444443,-0.694097051,-0.940231534,-0.374202217
1,0,0.753942534,0.034452603,-0.870326389,-0.00548119,-0.149623784,1.087426326,-0.173870334,NO,4,1,4/26/2011,3,0.920777866,0.533954697,-1.166645929,-0.147444443,-0.694097051,0.534584647,-0.374202217
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,1.087426326,-0.173870334,YES,5,1,5/01/2011,41,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,0.534584647,-0.374202217
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,-0.912573674,-0.173870334,NO,5,1,5/01/2011,40,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,-0.44862614,-0.374202217
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,-1.912573674,-0.173870334,NO,5,1,4/27/2011,10,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,-0.940231534,-0.374202217
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,-1.912573674,-0.173870334,NO,5,1,4/29/2011,22,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,-0.940231534,-0.374202217
0,1,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,0.087426326,-0.173870334,NO,5,1,4/29/2011,28,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,0.042979254,-0.374202217
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,4.087426326,-0.173870334,NO,5,1,4/28/2011,18,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,2.009400828,-0.374202217
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,2.087426326,-0.173870334,YES,5,1,5/01/2011,42,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,1.026190041,-0.374202217
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,0.087426326,0.826129666,NO,5,1,4/27/2011,9,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,0.042979254,1.777989064
0,0,0.378942534,0.032452603,-1.287226073,-0.000779625,-0.130068831,5.087426326,-0.173870334,NO,5,1,4/28/2011,19,0.46279641,0.502958218,-1.719923657,-0.039653866,-0.59868511,2.501006222,-0.374202217
