indiv,pack,litter.daten,bs.freq,bs.sess
HM092,17,39455,0,3
HM069,17,39525,1,30
HM078,17,39525,3,30
HM092,17,39525,1,30
HM069,17,39623,0,13
HM078,17,39623,1,13
HM092,17,39623,0,13
HM069,17,39706,6,27
HM078,17,39706,6,27
HM092,17,39706,5,27
HM069,17,40003,0,3
HM078,17,40003,0,3
HM092,17,40003,1,3
HM069,17,40090,1,23
HM078,17,40090,0,23
HM092,17,40090,4,23
HM069,17,40674,0,5
HM092,17,40674,0,5
SM013,17,40674,0,5
HM092,17,40928,0,4
SM009,17,40928,0,4
SM013,17,40928,0,4
HM092,17,41026,0,8
SM013,17,41026,1,8
HM092,17,41218,0,6
SM013,17,41218,0,6
KM018,15,38833,1,34
KM022,15,38833,2,34
KM018,15,38903,1,24
KM022,15,38903,0,24
KM031,15,38903,0,24
KM032,15,38903,1,24
KM018,15,38978,1,27
KM022,15,38978,1,27
KM031,15,38978,2,27
KM032,15,38978,0,27
KM018,15,39050,0,24
KM031,15,39050,2,24
KM032,15,39050,0,24
KM041,15,39050,4,24
KM042,15,39050,7,24
KM018,15,39202,1,22
KM031,15,39202,1,22
KM032,15,39202,2,22
KM042,15,39202,3,22
KM048,15,39202,1,22
KM051,15,39202,0,22
KM052,15,39202,2,22
KM018,15,39268,0,13
KM031,15,39268,0,13
KM032,15,39268,1,13
KM042,15,39268,0,13
KM048,15,39268,2,13
KM051,15,39268,8,13
KM052,15,39268,0,13
KM018,15,39369,0,12
KM031,15,39369,0,12
KM032,15,39369,0,12
KM042,15,39369,0,12
KM048,15,39369,1,12
KM051,15,39369,0,12
KM052,15,39369,2,12
KM018,15,39440,1,15
KM031,15,39440,0,15
KM032,15,39440,0,15
KM042,15,39440,0,15
KM048,15,39440,5,15
KM051,15,39440,0,15
KM052,15,39440,0,15
KM031,15,39532,3,39
KM032,15,39532,8,39
KM048,15,39532,7,39
KM051,15,39532,1,39
KM052,15,39532,6,39
KM031,15,39603,2,25
KM032,15,39603,1,25
KM048,15,39603,3,25
KM051,15,39603,5,25
KM052,15,39603,7,25
KM031,15,39730,1,22
KM048,15,39730,7,22
KM051,15,39730,4,22
KM031,15,39815,0,24
KM048,15,39815,3,24
KM051,15,39815,0,24
VM050,15,39815,1,24
VM054,15,39815,2,24
KM031,15,39890,0,18
KM048,15,39890,2,18
KM051,15,39890,0,18
VM050,15,39890,0,18
VM054,15,39890,1,18
KM031,15,39955,0,10
KM048,15,39955,3,10
KM051,15,39955,0,10
VM050,15,39955,2,10
VM054,15,39955,1,10
KM048,15,40022,0,17
KM051,15,40022,0,17
VM050,15,40022,1,17
KM048,15,40091,0,13
KM051,15,40091,1,13
VM050,15,40091,1,13
KM048,15,40161,1,14
KM051,15,40161,0,14
VM050,15,40161,0,14
KM048,15,40264,1,25
KM051,15,40264,1,25
KM048,15,40345,1,15
KM051,15,40345,3,15
KM048,15,40483,2,6
KM051,15,40483,3,6
KM051,15,40582,0,17
VM096,15,40582,3,17
KM051,15,40672,1,16
VM096,15,40672,2,16
KM051,15,40777,2,15
VM096,15,40777,4,15
VM109,15,40777,4,15
VM096,15,40956,2,9
VM109,15,40956,2,9
VM096,15,41036,0,15
VM109,15,41036,5,15
VM096,15,41197,0,11
VM096,15,41391,3,13
VM123,15,41391,1,13
