Bird_ID,Migratory_Strategy,Ringing_Age,Sex,Year,Breed_Success,Hatch_Date
142,0,P,1,3,3,33
143,1,P,1,1,3,50
143,1,P,1,2,3,39
143,1,P,1,3,0,49
144,0,P,0,3,2,34
145,0,P,1,2,3,38
145,0,P,1,3,1,56
146,0,P,1,1,3,49
147,0,P,0,2,1,45
148,0,P,0,1,3,47
148,0,P,0,2,2,50
148,0,P,0,3,2,57
149,1,P,1,2,3,41
150,0,P,1,2,0,NA
150,0,P,1,3,3,32
151,0,P,0,2,3,40
152,1,P,0,2,0,NA
153,1,P,0,2,3,39
154,1,P,1,1,2,56
154,1,P,1,2,4,42
154,1,P,1,3,2,39
155,0,P,1,2,3,45
155,0,P,1,3,2,48
156,0,P,1,3,3,43
157,1,P,0,1,3,53
158,1,P,0,2,2,42
159,0,A,1,1,3,41
159,0,A,1,2,1,34
160,1,P,1,1,2,NA
161,0,P,0,2,3,31
162,1,P,1,1,3,57
162,1,P,1,2,2,66
162,1,P,1,3,0,NA
163,1,P,1,1,3,53
164,0,P,0,3,3,42
165,1,P,1,1,1,46
165,1,P,1,2,0,NA
165,1,P,1,3,3,54
166,1,P,1,1,4,45
166,1,P,1,3,3,32
167,0,P,1,1,4,46
168,0,P,0,2,0,NA
169,0,P,1,2,3,43
170,1,P,1,1,3,55
170,1,P,1,2,2,46
170,1,P,1,3,0,NA
171,1,P,1,1,3,56
172,0,P,0,2,1,39
172,0,P,0,3,0,NA
173,1,P,0,1,2,56
173,1,P,0,2,2,41
173,1,P,0,3,3,34
174,0,S,1,3,3,32
175,1,P,0,2,3,42
175,1,P,0,3,1,31
176,0,P,1,3,3,31
177,0,P,1,2,1,33
178,0,A,1,3,4,29
179,0,A,0,2,3,35
179,0,A,0,3,0,NA
180,1,P,1,2,1,50
180,1,P,1,3,2,46
181,1,P,1,1,2,45
182,1,P,1,1,3,44
182,1,P,1,2,0,NA
182,1,P,1,3,3,32
183,1,P,1,1,3,56
183,1,P,1,2,2,52
183,1,P,1,3,1,56
184,0,A,1,1,3,42
184,0,A,1,2,3,42
184,0,A,1,3,2,28
185,0,A,0,2,1,44
186,0,A,0,3,2,46
187,0,A,0,2,3,30
188,0,A,1,1,2,53
188,0,A,1,3,0,NA
189,0,A,0,3,0,NA
190,0,A,0,1,1,42
190,0,A,0,2,3,34
190,0,A,0,3,2,27
191,1,P,0,2,1,43
192,0,P,0,2,3,34
193,1,P,0,3,2,53
194,1,P,0,1,3,46
194,1,P,0,2,2,34
195,0,P,0,2,3,33
196,0,A,1,1,3,56
196,0,A,1,2,3,43
197,1,P,0,3,2,39
198,1,P,1,1,3,52
198,1,P,1,2,2,49
198,1,P,1,3,0,NA
199,0,P,1,3,3,74
200,0,P,0,3,2,47
201,1,P,1,1,0,NA
201,1,P,1,2,0,NA
202,0,A,0,2,3,39
203,0,A,0,2,2,42
204,0,A,0,1,1,48
204,0,A,0,2,3,NA
204,0,A,0,2,0,NA
205,0,A,0,2,2,39
205,0,A,0,3,2,34
206,0,A,1,3,2,NA
207,0,A,0,2,3,29
207,0,A,0,3,0,49
208,0,A,0,2,3,37
208,0,A,0,3,2,37
209,0,A,1,1,3,49
209,0,A,1,2,3,44
209,0,A,1,3,3,29
210,1,A,0,3,1,54
211,0,A,1,3,1,30
212,0,A,1,1,3,48
212,0,A,1,3,3,34
213,1,P,1,3,2,64
214,0,P,1,1,1,57
214,0,P,1,2,0,NA
214,0,P,1,3,1,35
215,1,A,0,3,3,45
216,0,P,0,2,3,39
216,0,P,0,3,2,37
217,0,A,1,2,3,40
218,0,A,0,1,2,47
218,0,A,0,2,0,NA
218,0,A,0,3,2,43
219,1,P,1,3,3,42
220,0,A,1,3,2,28
221,0,A,1,3,1,51
222,1,A,1,1,2,49
222,1,A,1,2,3,36
223,0,P,1,1,0,NA
223,0,P,1,3,0,NA
224,0,P,1,2,3,33
224,0,P,1,3,3,32
225,0,P,0,3,1,NA
226,1,P,1,1,2,49
226,1,P,1,2,3,41
226,1,P,1,3,1,53
227,0,P,0,2,2,67
228,0,A,0,2,3,35
228,0,A,0,3,2,34
229,0,A,1,1,3,45
229,0,A,1,2,3,38
230,1,A,1,2,3,54
230,1,A,1,3,2,51
231,0,A,0,2,2,91
232,0,A,1,1,3,44
232,0,A,1,2,3,35
232,0,A,1,3,3,29
233,0,A,1,3,1,51
234,0,A,0,2,3,31
234,0,A,0,3,3,30
235,1,A,1,1,3,44
235,1,A,1,2,3,39
235,1,A,1,3,1,57
236,0,A,0,3,1,41
237,0,A,0,2,2,41
238,0,A,0,2,3,34
239,0,A,1,2,1,80
240,0,A,0,2,2,38
241,1,P,1,2,3,56
242,0,A,0,1,3,NA
243,0,A,1,3,0,NA
244,0,A,1,2,3,37
245,0,P,1,2,3,47
246,1,A,1,2,2,46
246,1,A,1,3,0,NA
247,1,A,0,2,3,43
248,1,A,1,1,2,50
249,0,A,1,2,0,NA
249,0,A,1,2,3,NA
250,1,P,0,2,3,44
251,0,A,1,1,0,NA
251,0,A,1,2,4,37
251,0,A,1,3,2,34
252,0,P,1,2,2,57
253,0,A,1,2,3,34
254,0,A,1,3,3,32
255,1,A,0,3,1,50
256,0,A,0,1,1,33
256,0,A,0,2,3,37
256,0,A,0,3,3,26
257,0,A,0,3,2,38
258,0,A,1,2,1,42
258,0,A,1,3,2,52
259,0,A,1,1,2,48
260,0,A,1,3,0,33
261,1,A,0,1,3,57
261,1,A,0,2,2,48
261,1,A,0,3,2,52
262,0,A,1,2,0,NA
263,1,P,1,1,2,56
264,0,A,1,3,2,30
265,1,A,1,1,2,32
265,0,A,1,2,3,36
265,1,A,1,3,1,44
266,0,A,1,3,2,54
267,0,A,0,3,1,69
268,0,A,1,2,3,42
269,0,P,0,2,2,48
270,1,P,1,2,2,53
270,1,P,1,3,1,NA
271,1,P,1,2,0,NA
271,1,P,1,3,2,34
272,1,A,0,2,0,NA
273,0,A,0,2,0,NA
273,0,A,0,3,2,33
274,1,A,NA,1,3,29
274,0,A,NA,2,3,35
274,1,A,NA,3,2,52
275,0,A,0,2,2,NA
275,0,A,0,3,2,34
276,0,A,1,1,2,46
276,0,A,1,2,3,35
276,0,A,1,3,2,34
277,0,A,1,2,2,48
278,1,A,1,1,3,42
278,1,A,1,2,1,58
279,0,A,0,2,1,36
280,1,P,1,2,0,NA
280,1,P,1,3,1,58
281,1,A,0,2,3,43
282,0,A,1,1,1,50
283,0,A,1,3,0,NA
284,0,A,1,1,1,45
284,0,A,1,2,3,35
284,0,A,1,3,0,NA
285,1,A,1,1,2,58
286,1,P,1,2,2,50
287,0,P,1,2,3,35
288,1,P,0,3,2,55
289,1,P,0,3,1,58
290,1,A,0,1,3,52
290,1,A,0,3,1,42
291,1,P,1,3,2,52
292,1,P,1,3,3,50
293,1,P,0,2,0,NA
294,1,A,0,3,2,46
295,1,P,0,2,2,65
296,1,P,0,3,0,NA
296,1,P,0,3,0,NA
297,0,P,1,3,3,50
298,0,P,0,3,0,NA
299,1,P,0,3,0,NA
300,0,A,1,2,2,48
300,0,A,1,3,2,38
301,0,A,0,3,0,NA
302,1,P,0,3,2,56
303,1,P,1,3,2,44
304,1,P,0,3,2,48
305,0,P,1,3,1,47
306,1,P,1,3,1,74
307,1,P,0,2,2,39
308,1,P,1,2,2,42
309,1,P,1,3,1,68
310,1,P,0,3,2,48
311,1,A,1,1,1,46
311,1,A,1,2,1,66
311,1,A,1,3,3,37
312,1,P,1,2,2,56
313,1,A,1,1,3,66
313,1,A,1,2,2,56
313,1,A,1,3,2,NA
314,1,P,0,3,0,NA
315,0,P,1,3,1,36
316,1,P,0,3,2,57
317,1,A,0,2,0,NA
318,0,A,1,2,2,20
318,0,A,1,3,3,39
319,0,P,0,2,2,47
319,1,P,0,3,2,44
320,1,P,0,3,1,61
321,0,P,1,3,2,49
322,1,A,1,1,3,51
322,1,A,1,2,2,39
323,1,P,1,3,2,38
324,0,P,0,3,2,58
325,0,P,0,2,0,NA
325,0,P,0,3,0,NA
326,1,P,0,3,1,69
327,1,P,0,3,2,NA
328,0,P,0,2,2,50
329,0,P,1,2,1,34
330,1,P,0,2,3,57
330,1,P,0,3,2,56
331,0,P,1,3,0,NA
332,1,P,1,2,3,30
333,0,A,0,3,1,38
334,1,P,0,3,1,49
335,1,P,1,2,2,56
335,1,P,1,3,1,53
336,1,P,0,3,0,NA
337,0,P,0,3,0,NA
338,1,A,1,1,0,NA
338,0,A,1,3,2,32
339,0,P,0,3,1,55
340,1,P,0,3,0,NA
341,1,P,1,3,1,NA
342,1,P,0,2,1,75
343,1,P,0,2,0,NA
344,1,A,0,2,2,56
345,1,P,1,2,2,45
346,1,P,1,3,1,42
347,1,P,1,2,1,47
347,1,P,1,3,3,29
348,0,P,0,3,3,48
349,1,P,0,3,1,34
350,1,P,1,2,2,48
351,0,A,1,2,2,35
351,0,A,1,3,2,35
352,1,P,0,2,0,NA
353,1,A,1,3,2,71
354,0,A,0,3,0,NA
355,1,P,1,3,1,57
356,1,P,1,3,2,46
357,0,P,1,3,1,51
358,0,A,0,2,3,37
358,0,A,0,3,0,NA
359,0,A,1,1,3,47
359,0,A,1,2,3,37
359,0,A,1,3,3,35
360,1,A,0,1,3,45
361,0,A,0,3,2,29
362,0,A,1,3,2,37
363,1,P,1,3,0,NA
364,1,P,0,3,1,52
365,0,A,0,2,2,36
365,0,A,0,3,1,31
366,0,A,1,2,3,30
366,0,A,1,3,3,33
367,0,A,0,2,3,38
368,1,A,0,1,1,34
368,1,A,0,2,3,37
368,1,A,0,3,2,34
369,1,A,1,1,0,NA
370,0,A,0,2,4,37
371,0,P,1,3,1,38
372,0,P,0,3,2,51
373,1,A,1,1,2,50
373,1,A,1,2,0,NA
373,1,A,1,3,0,NA
374,0,A,1,3,0,NA
375,1,P,0,3,0,NA
376,1,A,1,1,3,NA
376,0,A,1,2,3,43
376,0,A,1,3,2,44
377,1,A,1,1,0,NA
378,0,P,0,3,1,53
379,1,P,1,3,1,NA
380,1,A,0,2,1,38
381,1,P,NA,3,0,NA
382,0,A,0,2,1,NA
383,0,A,1,2,2,42
383,0,A,1,3,1,NA
384,0,P,1,3,2,61
385,0,A,0,1,3,53
386,1,A,0,1,3,47
