trial_number,treatment,crab_id,size_mm,gender,time_in_refuge,survival_days,censor
5,bluecrab,38y,23.9,f,0.6,7,0
5,bluecrab,39y,22.5,f,0.35,5,1
5,bluecrab,40y,22.6,f,0.9,1,1
5,toadfish,41y,26.7,m,0.05,7,0
5,toadfish,42y,24.9,m,0.2,7,0
5,toadfish,43y,24.2,m,0.2,7,0
5,toadfish,44y,21.4,f,0.25,7,0
5,toadfish,45y,20.3,f,0.2,7,0
5,toadfish,46y,26.9,f,1,5,1
5,toadfish,47y,21.9,f,0.65,3,1
5,toadfish,48y,24.3,m,0.4,7,0
5,toadfish,49y,25.4,m,0.85,2,1
5,toadfish,50y,23.5,f,0.3,4,1
6,control,51y,23.6,m,0.5,7,0
6,control,52y,25,f,0.25,7,0
6,control,53y,26.4,m,0.15,7,0
6,control,54y,22.4,m,0.45,7,0
6,control,55y,23.9,m,0.1,7,0
6,control,56y,24.5,f,0.6,7,0
6,control,57y,24.1,m,0.3,7,0
6,control,58y,25.1,m,0.1,7,0
6,control,59y,25,m,0.15,7,0
6,control,60y,23,m,0.8,7,0
6,bluecrab,61y,23.1,m,0.7,7,0
6,bluecrab,62y,20,f,0.65,3,1
6,bluecrab,63y,21.6,m,0.6,7,0
6,bluecrab,64y,24.2,m,0.6,7,0
6,bluecrab,65y,25.1,m,0.4,5,1
6,bluecrab,66y,23.6,f,0.7,7,1
6,bluecrab,67y,24.1,m,0.8,7,0
6,bluecrab,68y,21.8,f,0.6,7,0
6,bluecrab,69y,23.3,f,0.5,3,1
6,bluecrab,70y,24.3,m,0.6,2,1
6,toadfish,71y,21.8,f,0.2,7,0
6,toadfish,72y,23.7,f,0.8,7,0
6,toadfish,73y,23.9,m,0.8,7,0
6,toadfish,74y,22,m,0.7,3,1
6,toadfish,75y,23.4,f,1,4,1
6,toadfish,76y,25.6,m,0.95,7,0
6,toadfish,77y,22.8,f,0.6,7,0
6,toadfish,78y,25.9,m,0.2,7,0
6,toadfish,79y,23.8,m,1,7,0
6,toadfish,80y,25.2,m,0.3,7,0
7,control,81y,21.3,f,0.2,7,0
7,control,82y,23.4,m,0.3,7,0
7,control,83y,24.5,f,0.25,7,0
7,control,84y,24.1,f,0.15,7,0
7,control,85y,23.6,m,0.4,7,0
7,control,86y,20.7,f,0.6,7,0
7,control,87y,22.7,m,0.05,7,0
7,control,88y,24.3,f,0.15,7,0
7,control,89y,23.8,f,0.1,7,0
7,control,90y,23.9,m,0.45,7,0
7,bluecrab,91y,24,m,0.4,7,0
7,bluecrab,92y,25.2,f,0.5,7,0
7,bluecrab,93y,21.6,m,0.6,3,1
7,bluecrab,94y,22.2,m,0.65,5,1
7,bluecrab,95y,23.9,f,0.45,2,1
7,bluecrab,96y,22.4,f,1,7,0
7,bluecrab,97y,23.5,f,0.6,2,1
7,bluecrab,98y,21.5,f,0.9,6,1
7,bluecrab,98g,23.7,f,0.35,7,0
