crabID,behavior,gender,censor
70 y,0.7,f,0
71 y,0.95,m,0
72 y,0.9,f,0
73 y,0.55,m,0
74 y,0.8,m,0
75 y,0.95,f,0
76 y,0.85,f,0
77 y,0.4,f,0
78 y,0.75,f,0
79 y,0.9,f,0
80 y,0.85,m,0
81 y,0.9,m,0
82 y,0.85,f,0
83 y,0.95,m,0
84 y,1,m,0
85 y,0.85,f,0
86 y,0.9,f,0
87 y,0.35,f,0
88 y,0.35,m,0
89 y,0.55,f,0
90 y,0.8,m,0
91 y,0.9,m,0
92 y,0.95,f,0
93 y,0.55,m,0
94 y,0.65,m,0
95 y,0.65,f,0
96 y,0.9,f,0
97 y,0.15,m,0
98 y,0.6,m,0
99 y,0.75,m,0
1 w,0.9,f,0
2 w,0.45,f,0
3 w,0.8,m,0
4 w,0.25,m,0
5 w,0.95,f,0
6 w,0.35,f,0
7 w,0.15,f,0
8 w,0.4,m,0
9 w,0.15,m,0
10 w,0.85,m,0
11 w,0.55,f,0
12 w,0.75,f,0
13 w,0.5,f,0
14 w,0.35,f,0
15 w,0.85,f,0
16 w,0.95,f,0
17 w,0.8,m,0
18 w,0.85,f,0
19 w,0.85,m,0
20 w,0.4,f,0
21 w,0.6,f,0
22 w,0.9,f,0
23 w,0.65,f,0
24 w,0.25,f,0
25 w,0.75,f,0
26 w,0.7,f,0
27 w,1,f,0
28 w,0.65,f,0
29 w,0.15,f,0
30 w,0.7,f,0
31 w,0.35,f,0
32 w,1,f,0
33 w,0.7,f,1
34 w,0.65,m,0
35 w,0,m,0
36 w,0.85,m,0
37 w,0.75,f,0
38 w,0.05,f,0
39 w,1,f,0
40 w,0.65,f,0
41 w,0.8,f,0
42 w,0.4,m,0
43 w,0.95,f,0
44 w,0.85,f,0
45 w,0.55,m,0
46 w,0.05,f,0
47 w,0.55,m,0
48 w,0.55,m,0
49 w,0.65,f,0
50 w,0.65,m,0
51 w,0.75,f,0
52 w,0.6,m,0
53 w,0.65,f,0
54 w,0.7,f,0
55 w,0.7,f,0
56 w,0.9,m,0
57 w,0.6,f,0
58 w,0.4,m,0
59 w,0.75,f,0
60 w,0.75,m,0
61 w,0.8,f,0
62 w,0.85,f,0
63 w,0.3,f,0
64 w,0.6,f,0
65 w,0.35,f,0
66 w,0.6,f,0
67 w,0.7,m,0
68 w,0.2,m,0
69 w,0.9,m,0
70 w,0.7,f,0
71 w,0.75,f,0
72 w,0.85,f,0
73 w,1,m,0
74 w,0.85,f,1
75 w,0.95,f,0
76 w,0.8,m,0
77 w,1,f,0
78 w,0.45,f,0
79 w,0.4,m,0
80 w,0.6,m,0
81 w,0.6,f,0
82 w,0.55,f,0
83 w,0.95,m,1
84 w,0.25,f,0
85 w,0.5,m,0
86 w,0.85,f,0
87 w,0.95,f,0
88 w,0.6,m,0
89 w,0.4,f,0
90 w,0.15,f,0
91 w,0.9,f,0
92 w,0.85,f,0
93 w,0.8,m,0
94 w,0.95,f,1
95 w,0.9,f,0
96 w,0.4,f,0
97 w,0.95,f,0
98 w,0.45,f,0
99 w,0.65,f,1
1 g,0.75,f,0
2 g,0.65,f,0
3 g,0.95,f,0
4 g,0.55,f,0
5 g,0.85,f,1
6 g,1,f,0
7 g,0.6,m,0
8 g,0.95,f,0
9 g,0.85,m,0
10 g,0.6,f,0
11 g,0.35,m,0
12 g,1,f,0
13 g,0.95,f,0
14 g,0.95,f,0
15 g,0.95,f,0
16 g,1,f,0
17 g,0.8,f,0
18 g,1,f,0
19 g,0.85,m,0
20 g,0.55,m,0
21 g,0.65,m,0
22 g,0.8,f,0
23 g,0.55,m,0
24 g,0.9,f,0
25 g,0.6,f,0
26 g,0.6,f,0
27 g,0.6,f,0
28 g,0.35,m,0
29 g,0.35,m,0
30 g,0.25,f,0
31 g,0.75,m,0
32 g,0.3,m,0
33 g,0.7,f,0
34 g,0.6,m,0
35 g,0.65,f,0
36 g,0.65,m,0
37 g,0.45,f,0
38 g,0.95,f,0
39 g,0.45,m,0
40 g,0.65,f,0
41 g,0.45,m,0
42 g,0.55,f,0
43 g,0.3,f,0
44 g,0.15,m,0
45 g,0.7,m,0
46 g,0.25,m,0
47 g,0.4,m,0
48 g,0.45,f,0
49 g,0.1,f,0
50 g,0.75,f,0
51 g,0.55,f,0
52 g,0.35,m,0
53 g,0.7,m,0
54 g,0.6,m,0
55 g,0.75,m,0
56 g,0.45,m,0
57 g,0.8,f,0
58 g,0.75,f,0
59 g,0.15,f,0
60 g,0.85,m,0
61 g,0.6,m,0
62 g,0.75,f,0
63 g,0.55,m,0
64 g,0.1,m,0
65 g,1,m,0
66 g,0.6,f,0
67 g,0.4,f,0
68 g,0.2,m,0
69 g,0.8,f,0
70 g,0.5,f,0
71 g,0.8,f,0
72 g,0.6,f,0
73 g,0.55,f,0
74 g,0.75,m,0
75 g,0.5,m,0
76 g,0.6,f,0
77 g,0.55,f,0
78 g,0.65,f,0
79 g,0.3,f,0
80 g,0.45,m,0
81 g,0.55,m,0
82 g,0.75,f,0
83 g,0.8,f,0
84 g,0.9,f,0
