Group_joining,Longevity
0.186424312,60.2385087
0.311339752,64.97386849
0.368189371,48.06186925
0.564605863,48.73834922
0.599752389,80.53290778
0.578846575,84.5917876
0.590545977,96.09194707
0.759898914,112.3274663
0.742488731,87.29770747
1.096202398,112.6657063
1.29313229,84.5917876
1.073280754,62.94442858
1.942104893,75.45930801
1.754230413,96.43018706
1.697350594,115.0333862
1.756681124,125.8570657
1.536364509,130.2541855
1.252605653,187.4167429
1.383551994,187.7549829
2.005261724,205.3434621
2.080445646,161.7105041
2.181799202,152.5780245
2.29821491,133.2983454
2.388007985,104.8861867
2.346528558,94.40074715
2.781783208,53.47370901
2.817098853,75.79754799
2.950906625,82.56234769
2.765760695,117.4010661
2.637132185,153.9309845
3.033635958,116.3863462
3.125728743,125.8570657
3.23204412,172.1959436
3.302989492,199.2551424
