Bird,Season,Lsrate,Wwrate,Ssrate,Signaling PCA1,Flight,TimeW5,Closest,Aggression PCA1,switchrate,number of types,type matches,survivedTo2014,Residuals,Lsrate_t,Wwrate_t,Ssrate_t,Flight_t
hpmo    ,FebTen  ,0,0,0,-1.01805,0.22,0.44,3,-0.21071,.,0,0,1,52,0,0,0,13
hpmo    ,janTen  ,1.76,0.78,1.07,0.15278,1.76,0.29,1,0.00363,0.04,2,0,1,53,106,47,64,106
hpmo    ,octNine ,0.11,0,0.22,-0.73029,0.55,0.47,0,0.04193,0,1,1,1,54,7,0,13,33
hpmo    ,septNine,1.39,1.39,1.19,0.20053,0.6,0.67,1,0.22446,0.04,2,1,1,55,83,83,71,36
hzmo1   ,FebTen  ,3.67,0,0.71,0.36778,4.08,0.37,1,0.5171,0.02,2,2,0,56,220,0,43,245
hzmo1   ,janTen  ,0.15,0,3.83,0.43053,1.77,0,6,-0.58805,0.08,3,0,0,57,9,0,230,106
hzmo1   ,mayTen  ,0.15,0,0,-0.76508,1.52,0,12,-0.94837,.,1,1,0,58,9,0,0,91
hzmo1   ,octNine ,0,0,3.94,0.63896,2.07,0.64,0,0.51157,0.08,4,2,0,59,0,0,236,124
hzmo1   ,septNine,1.83,0,0,0.04239,0.2,0,20,-1.61041,0.12,3,2,0,60,110,0,0,12
ibim    ,FebTen  ,0.91,2.97,3.77,1.09374,1.37,0.92,0,0.70245,0.05,3,1,1,61,55,178,226,82
ibim    ,mayTen  ,1.87,0,0,0.26927,1.24,0,6,-0.68347,0.18,4,1,1,62,112,0,0,74
ibim    ,octNine ,1.6,11.32,1.6,2.02014,3.1,0.52,0,0.56156,0.03,2,1,1,63,96,679,96,186
ibim    ,septNine,1.28,3.85,1.28,0.83303,0.7,0.96,2,0.52045,0.1,3,1,1,64,77,231,77,42
iwim    ,FebTen  ,0,0,0.63,-0.67348,2.95,0.73,0,0.77371,0,1,1,1,65,0,0,38,177
iwim    ,janTen  ,0.12,0,4.85,0.40751,0.49,0.44,4,-0.2156,0.03,2,2,1,66,7,0,291,29
iwim    ,mayTen  ,5.8,0.47,1.18,1.66777,6.87,0.55,1,1.22957,0.07,5,2,1,67,348,28,71,412
iwim    ,octNine ,0.51,0.3,4.97,0.7867,5.17,0.88,0,1.34882,0.04,3,2,1,68,31,18,298,310
jssm    ,janTen  ,0,0,0,-1.01805,1.84,0.82,1,0.62175,.,0,0,1,69,0,0,0,110
jssm    ,octNine ,0,0,0,-1.01805,0.1,0.13,1,-0.48005,.,0,0,1,70,0,0,0,6
jyym    ,octNine ,0,0,0,-1.01805,0.08,0.01,5,-0.83188,.,0,0,1,71,0,0,0,5
lamb    ,janTen  ,0,0,0,-1.01805,0.63,0,13,-1.16473,.,0,0,1,72,0,0,0,38
lamb    ,septNine,1,0,0.11,-0.33871,0.33,0,7,-0.90212,0.11,2,1,1,73,60,0,7,20
lamr    ,FebTen  ,0,0,0,-1.01805,1.41,0.1,4,-0.43383,.,0,0,1,74,0,0,0,85
lamr    ,janTen  ,0.2,0,0,-0.75393,2.44,0.3,3,0.03358,0,1,0,1,75,12,0,0,146
lamr    ,mayTen  ,0.11,0,0,-0.77426,0.33,0.72,3,0.1277,.,1,1,1,76,7,0,0,20
lamr    ,octNine ,0.2,0,0,-0.53468,1.62,0.58,2,0.25501,1,2,2,1,77,12,0,0,97
lamr    ,septNine,0.79,0,0.4,-0.32618,5.76,0.98,2,1.464,0.09,2,2,1,78,47,0,24,346
liam    ,janTen  ,2.77,0,0,0.02869,0.5,0.01,1,-0.54335,0.05,2,1,1,79,166,0,0,30
liam    ,octNine ,0,0,0,-1.01805,0.11,1,1,0.51063,.,0,0,1,80,0,0,0,7
liam    ,septNine,0.16,0,0,-0.76366,0.95,0.06,5,-0.61527,.,1,0,1,81,10,0,0,57
llms    ,janTen  ,0,0,0,-1.01805,0.34,0,24,-1.79574,.,0,0,1,82,0,0,0,20
llms    ,octNine ,0,0,0,-1.01805,1.32,0.52,4,0.02788,.,0,0,1,83,0,0,0,79
llms    ,septNine,0,0,3.09,0.03248,0.67,0.07,3,-0.54982,0.05,2,1,1,84,0,0,185,40
mawy    ,FebTen  ,0.21,3,3.82,0.95355,6.61,1,0,1.74787,0.05,3,2,1,85,13,180,229,397
mggg    ,septNine,0,0,2.12,0.05976,0.91,0.49,1,0.07635,0.1,3,2,1,86,0,0,127,55
mjiy    ,FebTen  ,0.1,0,0,-0.77594,0.51,0.19,3,-0.44189,.,1,0,1,87,6,0,0,31
