id,sex,body_mass,trial,activity,exploration,food_neophobia,gregariousness,hemocytes,po,ppo,pair_id,larvae,survival,censoring,mother_body_mass
T231,m,125.8,1,34,4,81.964,5.274,1,1436.075,3382.621,T236,94,101,0,132.7
T343,m,159.9,1,47,15,47.927,19.296,17,15.929,4669.813,T358,95,36,1,119.2
T345,m,149.2,1,17,8,153.787,300,15,577.18,830.908,T338,0,17,1,126.6
T346,m,128.9,1,78,11,103.09,51.767,27,1277.2,2177.716,T340,96,39,1,120.9
T348,m,137.6,1,69,8,113.156,19.884,31,2904.086,3420.148,T329,73,97,0,131.8
T349,m,105.8,1,148,21,65.051,14.552,15,709.67,622.572,T319,0,19,1,130.4
T350,m,112,1,65,5,170.794,27.95,219,736.65,2079.938,T320,92,46,1,127.9
T365,m,134.1,1,27,11,238.112,41.965,40,3145.567,2766.897,T374,63,58,1,138.1
T367,m,108,1,75,0,93.037,82.803,1,4347.012,20578,T378,83,94,0,129.8
T369,m,169.1,1,75,12,18.898,5.978,253,531.02,504.92,T379,0,46,1,141.2
T371,m,131.8,1,14,7,206.321,63.765,113,3216.085,3483.579,T381,110,46,1,132.8
T413,m,153.1,1,121,23,51.386,11.094,122,1256.088,3698.97,T422,86,90,0,134.1
T415,m,191.8,1,7,5,51.619,11.675,37,3341.956,7284.97,T425,92,90,0,99.5
T416,m,159.8,1,80,7,298.106,197.352,1,1822.326,5225.117,T426,99,90,0,133.8
T417,m,155.3,1,67,2,300,61.721,73,3813.226,5793.266,T427,102,29,1,130.6
T419,m,140.8,1,54,10,41.538,25.574,141,1541.704,3998.837,T428,103,90,0,136.7
T420,m,142,1,50,16,51.4,44.524,101,2144.715,1678.738,T401,99,90,0,139.7
T437,m,139.6,1,16,8,300,300,49,1563.75,3502.076,T423,85,33,1,130.5
T438,m,151.1,1,43,8,300,63.238,28,2534.09,3913.579,T405,98,87,0,137
T445,m,146.3,1,31,5,300,46.431,144,2583.73,6602.776,T400,38,85,0,111.8
T446,m,150.8,1,82,15,32.04,19.597,97,2731.342,4496.266,T406,79,85,0,122.1
T447,m,176.4,1,11,0,300,300,95,5270.186,6773.463,T394,62,85,0,91.7
T450,m,170,1,46,3,27.081,30.485,1,6575.115,22326,T439,84,85,0,134.2
T452,m,183.9,1,59,6,24.412,8.862,27,3219.444,3020.302,T440,97,85,0,129.1
